n,method,seed,id_error
0,Random probes,0,0.501600
0,Random probes,1,0.489769
0,Random probes,2,0.473876
0,Random probes,3,0.432234
0,Random probes,4,0.495456
0,Random probes,5,0.517478
0,Random probes,6,0.497774
0,Random probes,7,0.471664
0,Random probes,8,0.479408
0,Random probes,9,0.500090
0,Random probes,10,0.547640
0,Random probes,11,0.526290
0,Random probes,12,0.507602
0,Random probes,13,0.451090
0,Random probes,14,0.471104
0,Random probes,15,0.491391
0,Random probes,16,0.488759
0,Random probes,17,0.546466
0,Random probes,18,0.538980
0,Random probes,19,0.491329
1,Random probes,0,0.391375
1,Random probes,1,0.346095
1,Random probes,2,0.413672
1,Random probes,3,0.377095
1,Random probes,4,0.390062
1,Random probes,5,0.344983
1,Random probes,6,0.337007
1,Random probes,7,0.355900
1,Random probes,8,0.406435
1,Random probes,9,0.410371
1,Random probes,10,0.317965
1,Random probes,11,0.364361
1,Random probes,12,0.343718
1,Random probes,13,0.407400
1,Random probes,14,0.378503
1,Random probes,15,0.375793
1,Random probes,16,0.392754
1,Random probes,17,0.363478
1,Random probes,18,0.383358
1,Random probes,19,0.419675
2,Random probes,0,0.301552
2,Random probes,1,0.295088
2,Random probes,2,0.262857
2,Random probes,3,0.317594
2,Random probes,4,0.280682
2,Random probes,5,0.308761
2,Random probes,6,0.313076
2,Random probes,7,0.299864
2,Random probes,8,0.317090
2,Random probes,9,0.305334
2,Random probes,10,0.313036
2,Random probes,11,0.269573
2,Random probes,12,0.292320
2,Random probes,13,0.321560
2,Random probes,14,0.257258
2,Random probes,15,0.284049
2,Random probes,16,0.280287
2,Random probes,17,0.251532
2,Random probes,18,0.231247
2,Random probes,19,0.317243
3,Random probes,0,0.184386
3,Random probes,1,0.162635
3,Random probes,2,0.215774
3,Random probes,3,0.218574
3,Random probes,4,0.233423
3,Random probes,5,0.199248
3,Random probes,6,0.185089
3,Random probes,7,0.218097
3,Random probes,8,0.174317
3,Random probes,9,0.173286
3,Random probes,10,0.194323
3,Random probes,11,0.200685
3,Random probes,12,0.232821
3,Random probes,13,0.219025
3,Random probes,14,0.202893
3,Random probes,15,0.207129
3,Random probes,16,0.233489
3,Random probes,17,0.216744
3,Random probes,18,0.193585
3,Random probes,19,0.174477
4,Random probes,0,0.154834
4,Random probes,1,0.162792
4,Random probes,2,0.160498
4,Random probes,3,0.162158
4,Random probes,4,0.177830
4,Random probes,5,0.154854
4,Random probes,6,0.173746
4,Random probes,7,0.135070
4,Random probes,8,0.136901
4,Random probes,9,0.118809
4,Random probes,10,0.174834
4,Random probes,11,0.197370
4,Random probes,12,0.163663
4,Random probes,13,0.181485
4,Random probes,14,0.172963
4,Random probes,15,0.185324
4,Random probes,16,0.205545
4,Random probes,17,0.152340
4,Random probes,18,0.163704
4,Random probes,19,0.165281
5,Random probes,0,0.119410
5,Random probes,1,0.095642
5,Random probes,2,0.131890
5,Random probes,3,0.113507
5,Random probes,4,0.139409
5,Random probes,5,0.118188
5,Random probes,6,0.099935
5,Random probes,7,0.114665
5,Random probes,8,0.091033
5,Random probes,9,0.101416
5,Random probes,10,0.095627
5,Random probes,11,0.147507
5,Random probes,12,0.151451
5,Random probes,13,0.120434
5,Random probes,14,0.125443
5,Random probes,15,0.120775
5,Random probes,16,0.106516
5,Random probes,17,0.133842
5,Random probes,18,0.150953
5,Random probes,19,0.122357
6,Random probes,0,0.088379
6,Random probes,1,0.099431
6,Random probes,2,0.095493
6,Random probes,3,0.086573
6,Random probes,4,0.071514
6,Random probes,5,0.119007
6,Random probes,6,0.074529
6,Random probes,7,0.067837
6,Random probes,8,0.110749
6,Random probes,9,0.079183
6,Random probes,10,0.081533
6,Random probes,11,0.091637
6,Random probes,12,0.087400
6,Random probes,13,0.114615
6,Random probes,14,0.084516
6,Random probes,15,0.097272
6,Random probes,16,0.064131
6,Random probes,17,0.089494
6,Random probes,18,0.052748
6,Random probes,19,0.063958
8,Random probes,0,0.043161
8,Random probes,1,0.045443
8,Random probes,2,0.045134
8,Random probes,3,0.068537
8,Random probes,4,0.048659
8,Random probes,5,0.042886
8,Random probes,6,0.044841
8,Random probes,7,0.073124
8,Random probes,8,0.064462
8,Random probes,9,0.046172
8,Random probes,10,0.063187
8,Random probes,11,0.019824
8,Random probes,12,0.063975
8,Random probes,13,0.051847
8,Random probes,14,0.018571
8,Random probes,15,0.053507
8,Random probes,16,0.054202
8,Random probes,17,0.047170
8,Random probes,18,0.065390
8,Random probes,19,0.039909
10,Random probes,0,0.042009
10,Random probes,1,0.041567
10,Random probes,2,0.041182
10,Random probes,3,0.035658
10,Random probes,4,0.043596
10,Random probes,5,0.028051
10,Random probes,6,0.062642
10,Random probes,7,0.069966
10,Random probes,8,0.056140
10,Random probes,9,0.056404
10,Random probes,10,0.050393
10,Random probes,11,0.044131
10,Random probes,12,0.053937
10,Random probes,13,0.043428
10,Random probes,14,0.051242
10,Random probes,15,0.059551
10,Random probes,16,0.058022
10,Random probes,17,0.034038
10,Random probes,18,0.035728
10,Random probes,19,0.032316
12,Random probes,0,0.031808
12,Random probes,1,0.038212
12,Random probes,2,0.048303
12,Random probes,3,0.042582
12,Random probes,4,0.057919
12,Random probes,5,0.034804
12,Random probes,6,0.036346
12,Random probes,7,0.059337
12,Random probes,8,0.055219
12,Random probes,9,0.030142
12,Random probes,10,0.054377
12,Random probes,11,0.042703
12,Random probes,12,0.047747
12,Random probes,13,0.034339
12,Random probes,14,0.074972
12,Random probes,15,0.037833
12,Random probes,16,0.040418
12,Random probes,17,0.054192
12,Random probes,18,0.046304
12,Random probes,19,0.052442
0,OED probes,0,0.503216
0,OED probes,1,0.488897
0,OED probes,2,0.469639
0,OED probes,3,0.501858
0,OED probes,4,0.437544
0,OED probes,5,0.510688
0,OED probes,6,0.459682
0,OED probes,7,0.512406
0,OED probes,8,0.489200
0,OED probes,9,0.469350
0,OED probes,10,0.540714
0,OED probes,11,0.497781
0,OED probes,12,0.522908
0,OED probes,13,0.495172
0,OED probes,14,0.545576
0,OED probes,15,0.518541
0,OED probes,16,0.515190
0,OED probes,17,0.512949
0,OED probes,18,0.448252
0,OED probes,19,0.480438
1,OED probes,0,0.349607
1,OED probes,1,0.307546
1,OED probes,2,0.356225
1,OED probes,3,0.278516
1,OED probes,4,0.384230
1,OED probes,5,0.364434
1,OED probes,6,0.323523
1,OED probes,7,0.331038
1,OED probes,8,0.321442
1,OED probes,9,0.300375
1,OED probes,10,0.321196
1,OED probes,11,0.343845
1,OED probes,12,0.324985
1,OED probes,13,0.321654
1,OED probes,14,0.362726
1,OED probes,15,0.287567
1,OED probes,16,0.312197
1,OED probes,17,0.333495
1,OED probes,18,0.346926
1,OED probes,19,0.348473
2,OED probes,0,0.244756
2,OED probes,1,0.225903
2,OED probes,2,0.214925
2,OED probes,3,0.207268
2,OED probes,4,0.258235
2,OED probes,5,0.255723
2,OED probes,6,0.267866
2,OED probes,7,0.257774
2,OED probes,8,0.260904
2,OED probes,9,0.248605
2,OED probes,10,0.219065
2,OED probes,11,0.305635
2,OED probes,12,0.228152
2,OED probes,13,0.246803
2,OED probes,14,0.261730
2,OED probes,15,0.269768
2,OED probes,16,0.232446
2,OED probes,17,0.236210
2,OED probes,18,0.227595
2,OED probes,19,0.270639
3,OED probes,0,0.186407
3,OED probes,1,0.136000
3,OED probes,2,0.135844
3,OED probes,3,0.142049
3,OED probes,4,0.179113
3,OED probes,5,0.169754
3,OED probes,6,0.160454
3,OED probes,7,0.191815
3,OED probes,8,0.182779
3,OED probes,9,0.149579
3,OED probes,10,0.173171
3,OED probes,11,0.177464
3,OED probes,12,0.184485
3,OED probes,13,0.163581
3,OED probes,14,0.148643
3,OED probes,15,0.200759
3,OED probes,16,0.177265
3,OED probes,17,0.168453
3,OED probes,18,0.149989
3,OED probes,19,0.142398
4,OED probes,0,0.126774
4,OED probes,1,0.134386
4,OED probes,2,0.104468
4,OED probes,3,0.091398
4,OED probes,4,0.112945
4,OED probes,5,0.075162
4,OED probes,6,0.098188
4,OED probes,7,0.136730
4,OED probes,8,0.113533
4,OED probes,9,0.111703
4,OED probes,10,0.096227
4,OED probes,11,0.084736
4,OED probes,12,0.082045
4,OED probes,13,0.105146
4,OED probes,14,0.118270
4,OED probes,15,0.113473
4,OED probes,16,0.103061
4,OED probes,17,0.092366
4,OED probes,18,0.081660
4,OED probes,19,0.117731
5,OED probes,0,0.091256
5,OED probes,1,0.059017
5,OED probes,2,0.066789
5,OED probes,3,0.065200
5,OED probes,4,0.068304
5,OED probes,5,0.068313
5,OED probes,6,0.066851
5,OED probes,7,0.084246
5,OED probes,8,0.072207
5,OED probes,9,0.086581
5,OED probes,10,0.070278
5,OED probes,11,0.098750
5,OED probes,12,0.067826
5,OED probes,13,0.063174
5,OED probes,14,0.067970
5,OED probes,15,0.054841
5,OED probes,16,0.074987
5,OED probes,17,0.109265
5,OED probes,18,0.068924
5,OED probes,19,0.095222
6,OED probes,0,0.043480
6,OED probes,1,0.061235
6,OED probes,2,0.045253
6,OED probes,3,0.043535
6,OED probes,4,0.037991
6,OED probes,5,0.052465
6,OED probes,6,0.034544
6,OED probes,7,0.043826
6,OED probes,8,0.058581
6,OED probes,9,0.029776
6,OED probes,10,0.074766
6,OED probes,11,0.036623
6,OED probes,12,0.041394
6,OED probes,13,0.037965
6,OED probes,14,0.051250
6,OED probes,15,0.052834
6,OED probes,16,0.074570
6,OED probes,17,0.057288
6,OED probes,18,0.081582
6,OED probes,19,0.061043
8,OED probes,0,0.030800
8,OED probes,1,0.025691
8,OED probes,2,0.027193
8,OED probes,3,0.051926
8,OED probes,4,0.000000
8,OED probes,5,0.034119
8,OED probes,6,0.017829
8,OED probes,7,0.033415
8,OED probes,8,0.027749
8,OED probes,9,0.024521
8,OED probes,10,0.040663
8,OED probes,11,0.028110
8,OED probes,12,0.021272
8,OED probes,13,0.034573
8,OED probes,14,0.031639
8,OED probes,15,0.011220
8,OED probes,16,0.033503
8,OED probes,17,0.033237
8,OED probes,18,0.013936
8,OED probes,19,0.018606
10,OED probes,0,0.013267
10,OED probes,1,0.022259
10,OED probes,2,0.024552
10,OED probes,3,0.028201
10,OED probes,4,0.029642
10,OED probes,5,0.021985
10,OED probes,6,0.017847
10,OED probes,7,0.012547
10,OED probes,8,0.021527
10,OED probes,9,0.014790
10,OED probes,10,0.042000
10,OED probes,11,0.020796
10,OED probes,12,0.028424
10,OED probes,13,0.010082
10,OED probes,14,0.015582
10,OED probes,15,0.011769
10,OED probes,16,0.008425
10,OED probes,17,0.025015
10,OED probes,18,0.027981
10,OED probes,19,0.023309
12,OED probes,0,0.016155
12,OED probes,1,0.025228
12,OED probes,2,0.021979
12,OED probes,3,0.023512
12,OED probes,4,0.012493
12,OED probes,5,0.031645
12,OED probes,6,0.030997
12,OED probes,7,0.015678
12,OED probes,8,0.016329
12,OED probes,9,0.022746
12,OED probes,10,0.029196
12,OED probes,11,0.015226
12,OED probes,12,0.021494
12,OED probes,13,0.018401
12,OED probes,14,0.013550
12,OED probes,15,0.010737
12,OED probes,16,0.034007
12,OED probes,17,0.033017
12,OED probes,18,0.036353
12,OED probes,19,0.011257
